City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,miles city,46.4083,-105.8406,35.54,29,0,5.55,US,1724279346
115,santa ana de yacuma,-13.75,-65.4333,33.97,43,40,1.54,BO,1724279347
116,cabo san lucas,22.8909,-109.9124,34.17,49,20,3.6,MX,1724279296
117,khost,33.3395,69.9204,23.86,77,2,0.79,AF,1724279351
118,george town,5.4112,100.3354,25.96,94,20,1.03,MY,1724279352
119,sitka,57.0531,-135.33,18.94,55,0,6.17,US,1724279133
120,punta arenas,-53.15,-70.9167,5.06,75,20,8.23,CL,1724279354
121,murzuq,25.9155,13.9184,35.17,13,0,4.81,LY,1724279356
122,arteche,12.2645,125.4048,25.84,89,88,0.97,PH,1724279357
123,iaciara,-14.0958,-46.6317,28.51,19,0,2.61,BR,1724279358
124,port mathurin,-19.6833,63.4167,21.16,68,100,12.88,MU,1724279359
125,al ghayzah,16.2079,52.176,25.03,85,21,5.48,YE,1724279360
126,new norfolk,-42.7826,147.0587,10.95,67,22,4.08,AU,1724279362
127,gulf shores,30.246,-87.7008,32.36,54,0,4.12,US,1724279363
128,nahiyat ash shinafiyah,31.5874,44.6602,37.53,10,0,2.55,IQ,1724279364
129,cheongju-si,36.6372,127.4897,26.98,89,75,1.03,KR,1724279365
130,hamilton,39.1834,-84.5333,24.34,41,0,5.14,US,1724279329
131,edinburgh of the seven seas,-37.0676,-12.3116,9.77,71,55,14.41,SH,1724279367
132,vila franca do campo,37.7167,-25.4333,24.23,85,40,1.09,PT,1724279368
133,nago,26.5881,127.9761,28.28,83,88,2.43,JP,1724279370
134,isla mujeres,21.2311,-86.731,31.03,69,62,4.8,MX,1724279371
135,kodiak,57.79,-152.4072,15.73,72,20,2.06,US,1724279372
136,carauari,-4.8828,-66.8958,33.76,35,74,1.22,BR,1724279120
137,emerald,-23.5333,148.1667,16.3,88,5,3.46,AU,1724279374
138,camayenne,9.535,-13.6878,26.05,94,75,2.06,GN,1724279375
139,fale old settlement,-9.3852,-171.2468,27.78,78,82,8.66,TK,1724279377
140,letlhakane,-21.4167,25.5833,14.74,22,0,3.85,BW,1724279378
141,alcala,4.6747,-75.7825,29.77,47,20,3.09,CO,1724279379
142,broken hill,-31.95,141.4333,10.85,86,86,3.82,AU,1724279380
143,lakatoro,-16.0999,167.4164,25.7,78,91,6.77,VU,1724279383
144,bhimunipatnam,17.8833,83.4333,28.73,80,100,5.96,IN,1724279384
145,turan,16.0678,108.2208,24.99,94,0,0.51,VN,1724279385
146,mont-dore,-22.2833,166.5833,23.33,99,3,4.5,NC,1724279386
147,mil'kovo,55.6078,37.7956,16.08,66,73,3.19,RU,1724279387
148,taguatinga,-12.3857,-46.5711,29.19,18,0,1.91,BR,1724279388
149,kuqa,41.7278,82.9364,25.61,31,56,1.88,CN,1724279390
150,ardatov,55.2421,43.097,12.33,70,4,1.97,RU,1724279391
151,kone,-21.0595,164.8658,23.22,51,0,3.53,NC,1724279393
152,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1724279394
153,nabire,-3.3667,135.4833,24.14,93,100,1.43,ID,1724279396
154,assab,13.0092,42.7394,30.36,68,70,2.66,ER,1724279397
155,saldanha,-33.0117,17.9442,6.03,60,100,6.11,ZA,1724279398
156,st. john's,47.5649,-52.7093,15.71,95,100,5.14,CA,1724279364
157,khash,28.2211,61.2158,24.43,31,16,0.24,IR,1724279400
158,bredasdorp,-34.5322,20.0403,5.67,72,26,1.51,ZA,1724279402
159,akureyri,65.6835,-18.0878,6.96,76,75,4.12,IS,1724279403
160,palangkaraya,-2.2,113.8333,22.59,99,99,1.28,ID,1724279404
161,oranjemund,-28.55,16.4333,11.43,79,0,5.8,NA,1724279405
162,minna,9.6139,6.5569,24.84,88,0,1.54,NG,1724279406
163,trairi,-3.2778,-39.2689,25.26,83,3,5.9,BR,1724279370
164,jabat,7.75,168.9751,28.15,72,50,2.17,MH,1724279410
165,satuek,15.297,103.2919,26.31,100,75,2.06,TH,1724279411
166,hirekerur,14.4667,75.3833,22.43,93,100,5.0,IN,1724279414
167,camiri,-20.05,-63.5167,32.88,29,15,2.57,BO,1724279415
168,la passe,45.5549,-0.8967,15.66,75,1,3.33,FR,1724279416
169,brak,27.5496,14.2714,32.71,39,29,11.62,LY,1724279417
170,tindouf,27.6711,-8.1474,37.25,20,40,7.72,DZ,1724279419
171,bikenibeu village,1.3673,173.1241,30.98,66,20,4.12,KI,1724279420
172,san angelo,31.4638,-100.437,43.12,12,0,2.57,US,1724279042
173,kapsan-up,41.0903,128.2933,18.85,97,100,0.98,KP,1724279422
174,kralendijk,12.15,-68.2667,30.99,66,20,5.66,BQ,1724279423
175,san patricio,28.017,-97.5169,37.97,43,2,6.89,US,1724279425
176,plattling,48.7833,12.8667,15.9,80,100,0.49,DE,1724279426
177,kogalym,62.2654,74.4791,13.31,68,32,2.47,RU,1724279427
178,berdigestyakh,62.0989,126.6992,14.3,93,100,1.87,RU,1724279428
179,kailua-kona,19.6406,-155.9956,28.98,82,75,5.66,US,1724279430
180,iqaluit,63.7506,-68.5145,18.85,55,75,7.72,CA,1724279431
181,westport,41.1415,-73.3579,22.23,58,20,4.12,US,1724279432
182,gazojak,41.1875,61.4036,23.85,25,0,3.86,TM,1724279433
183,international falls,48.6011,-93.411,26.75,57,75,3.09,US,1724279419
184,neiafu,-18.65,-173.9833,26.38,73,40,4.12,TO,1724279436
185,chefchaouene,35.1688,-5.2636,23.44,72,0,0.23,MA,1724279437
186,karema,-6.8205,30.4389,22.39,43,65,1.17,TZ,1724279438
187,wanning,18.8003,110.3967,27.6,89,59,3.73,CN,1724279439
188,barberino di mugello,44.0027,11.2371,23.68,70,0,1.34,IT,1724279440
189,boguchany,58.3814,97.4531,14.68,94,87,1.57,RU,1724279442
190,georgetown,5.4112,100.3354,25.96,94,20,1.03,MY,1724279352
191,san luis de la loma,17.2706,-100.8939,29.69,76,50,3.98,MX,1724279444
192,as sulayyil,20.4607,45.5779,33.79,39,73,1.38,SA,1724279445
193,altamira,-3.2033,-52.2064,30.38,39,63,0.66,BR,1724279448
194,merizo village,13.2658,144.6691,29.1,88,100,3.94,GU,1724279449
195,utrik,11.2278,169.8474,28.12,73,54,3.77,MH,1724279451
196,bel ombre,-4.6167,55.4167,25.91,83,40,7.2,SC,1724279452
197,east london,-33.0153,27.9116,14.09,53,57,11.76,ZA,1724279453
198,port saint john's,-31.6229,29.5448,15.26,57,79,9.7,ZA,1724279454
199,hami,42.8,93.45,25.18,36,34,2.04,CN,1724279456
200,vila velha,-20.3297,-40.2925,22.19,90,40,0.51,BR,1724279286
201,afaahiti,-17.75,-149.2833,23.41,63,70,10.93,PF,1724279458
202,pisco,-13.7,-76.2167,19.03,72,13,11.83,PE,1724279459
203,west island,-12.1568,96.8225,25.99,89,96,2.57,CC,1724279461
204,tidjikja,18.5564,-11.4271,32.27,45,7,3.5,MR,1724279462
205,xinyuan,37.3,99.0,7.37,74,16,0.64,CN,1724279463
206,pandan,14.0453,124.1694,27.74,86,43,0.83,PH,1724279464
207,pagar alam,-4.0167,103.2667,19.52,96,87,0.66,ID,1724279466
208,saipan,15.1355,145.701,30.39,79,20,4.12,MP,1724279467
209,mata-utu,-13.2816,-176.1745,26.56,78,20,9.38,WF,1724279468
210,lihue,21.9789,-159.3672,28.77,63,20,6.69,US,1724279469
211,kenai,60.5544,-151.2583,10.64,100,100,2.57,US,1724279472
212,akhty,41.4597,47.7312,17.44,55,0,3.3,RU,1724279473
213,hasaki,35.7333,140.8333,25.85,85,100,4.4,JP,1724279474
